# Items: 35000, Weight: 8750000
# Index, Weight, Price
0 748 8855
1 361 3911
2 168 980
3 191 2752
4 675 3471
5 112 7252
6 245 6732
7 557 5622
8 637 8499
9 818 1929
10 231 944
11 773 6397
12 492 6530
13 699 7823
14 396 1442
15 180 2700
16 272 216
17 742 2050
18 274 3725
19 979 84
20 735 9621
21 633 7183
22 869 894
23 601 4487
24 194 3597
25 331 7711
26 677 6826
27 869 3192
28 944 5376
29 347 4660
30 631 2291
31 808 3696
32 722 3374
33 651 7383
34 377 3919
35 115 6013
36 338 1123
37 130 937
38 312 2285
39 964 5000
40 669 8991
41 768 4108
42 477 2494
43 898 8199
44 5 7855
45 384 6592
46 774 2872
47 67 5924
48 137 1981
49 2 8928
50 676 6007
51 526 8452
52 955 2999
53 19 3694
54 648 3054
55 128 3316
56 789 1257
57 514 9617
58 933 9601
59 977 2905
60 938 9154
61 650 271
62 582 6910
63 37 6521
64 924 3990
65 509 334
66 293 6266
67 811 9424
68 28 1108
69 648 979
70 931 4933
71 806 3342
72 757 9270
73 417 9596
74 801 6590
75 879 3838
76 255 4460
77 147 5771
78 742 5486
79 500 7393
80 168 2903
81 85 6647
82 49 9818
83 836 3973
84 393 7839
85 775 7851
86 395 9340
87 427 1151
88 818 3524
89 339 6111
90 46 6929
91 696 4159
92 375 3513
93 931 260
94 139 8627
95 747 8891
96 812 9080
97 9 2897
98 948 230
99 620 7934
100 580 5512
101 51 23
102 93 8082
103 445 5575
104 727 166
105 797 461
106 925 6745
107 217 3138
108 863 7905
109 925 5794
110 972 3348
111 861 6506
112 924 5908
113 602 1064
114 320 7632
115 656 4387
116 538 9130
117 752 4382
118 650 9644
119 668 2128
120 334 1946
121 859 971
122 233 1345
123 553 2485
124 396 6070
125 296 9962
126 252 3483
127 141 2259
128 567 4136
129 660 8044
130 773 3598
131 986 2600
132 990 5525
133 648 6380
134 870 5593
135 580 9224
136 781 155
137 507 4549
138 983 9257
139 217 1634
140 585 6760
141 705 1595
142 958 3257
143 330 3472
144 39 7531
145 396 8579
146 994 1767
147 517 1621
148 698 396
149 177 130
150 745 1952
151 13 1430
152 736 6273
153 624 2775
154 958 4375
155 768 4467
156 582 9502
157 190 743
158 198 1412
159 461 2462
160 916 4230
161 225 3538
162 780 7377
163 128 85
164 692 8678
165 373 785
166 452 3870
167 119 1054
168 930 3088
169 596 3933
170 748 7240
171 448 2253
172 803 6147
173 547 7482
174 712 575
175 623 2039
176 949 7035
177 458 4161
178 663 4354
179 451 137
180 556 8675
181 627 9797
182 84 9505
183 464 8114
184 227 795
185 121 6366
186 229 7217
187 553 9796
188 600 7651
189 658 8605
190 826 514
191 297 3000
192 305 5931
193 629 4066
194 578 2194
195 432 881
196 589 5239
197 828 8939
198 277 1620
199 922 5745
200 642 8344
201 500 9761
202 27 6984
203 589 2696
204 92 740
205 479 9489
206 35 2394
207 116 3463
208 113 3514
209 660 5378
210 882 1009
211 907 6220
212 437 3728
213 229 5351
214 276 4212
215 25 9057
216 554 8741
217 483 3832
218 319 1387
219 748 7771
220 213 6007
221 671 1858
222 187 4110
223 394 2065
224 99 4623
225 586 3997
226 514 5030
227 928 7957
228 336 6668
229 673 2431
230 446 1382
231 544 8317
232 33 5668
233 186 2825
234 887 8171
235 748 2705
236 945 7732
237 519 2625
238 188 3519
239 560 8436
240 393 4563
241 935 6702
242 548 2005
243 640 7487
244 717 8271
245 267 7464
246 964 81
247 555 801
248 742 1477
249 276 8804
250 644 2058
251 935 2510
252 589 4178
253 525 6810
254 310 8084
255 143 3829
256 613 6466
257 908 4790
258 465 7758
259 417 489
260 339 7288
261 881 4498
262 497 3481
263 68 6129
264 16 5892
265 224 8766
266 273 8374
267 594 1350
268 961 9416
269 366 3707
270 26 8442
271 827 8720
272 111 8608
273 593 2749
274 589 7569
275 467 9680
276 509 1880
277 923 471
278 395 7193
279 640 5183
280 198 7360
281 920 9624
282 387 3859
283 653 785
284 768 4215
285 312 4235
286 388 9683
287 400 5795
288 289 1009
289 286 8175
290 84 5831
291 953 7529
292 539 8905
293 929 5438
294 616 9142
295 638 1007
296 374 6961
297 341 5129
298 222 4950
299 928 4988
300 904 6248
301 981 6197
302 854 1062
303 507 3837
304 753 7275
305 368 9048
306 81 8101
307 846 3082
308 39 1223
309 126 3273
310 784 1688
311 389 4622
312 675 4029
313 751 7150
314 340 374
315 260 497
316 903 7090
317 430 5270
318 492 6872
319 773 8790
320 468 6181
321 239 2809
322 116 878
323 657 2650
324 239 2798
325 420 6942
326 432 2099
327 774 986
328 391 6833
329 627 3437
330 848 8320
331 854 3866
332 498 5461
333 331 3947
334 319 8465
335 315 5478
336 362 828
337 904 5357
338 919 9859
339 828 3832
340 479 8110
341 834 510
342 833 2508
343 348 2554
344 515 5407
345 323 1823
346 707 2036
347 509 4578
348 443 1019
349 673 9039
350 879 3612
351 213 2322
352 967 9391
353 24 1907
354 309 1252
355 873 9563
356 610 4592
357 863 1106
358 77 3459
359 40 7434
360 242 5308
361 734 8976
362 486 9484
363 649 3201
364 984 3242
365 781 9656
366 237 3019
367 249 4747
368 854 2473
369 489 4775
370 570 7238
371 902 7868
372 640 7036
373 315 354
374 117 8331
375 34 9281
376 779 1104
377 992 2300
378 898 2372
379 37 5785
380 494 7229
381 753 6607
382 347 6927
383 775 1040
384 623 7181
385 251 4092
386 869 4306
387 691 7965
388 83 2786
389 872 3255
390 64 960
391 3 1285
392 886 4879
393 265 7355
394 874 1426
395 224 1761
396 909 6178
397 972 7097
398 465 2021
399 698 3166
400 251 5728
401 749 588
402 554 8692
403 156 1009
404 674 314
405 180 3712
406 958 7313
407 569 8099
408 419 1112
409 546 4180
410 190 822
411 485 5474
412 309 4007
413 782 1833
414 236 341
415 465 147
416 236 3405
417 866 8777
418 628 8529
419 404 2023
420 202 1732
421 270 734
422 744 5629
423 397 9779
424 373 5312
425 434 985
426 866 3178
427 93 7927
428 391 7138
429 154 1541
430 192 9517
431 408 700
432 659 3599
433 249 1799
434 39 608
435 74 2885
436 700 1465
437 157 9851
438 464 1053
439 714 6005
440 453 79
441 739 1849
442 338 7569
443 857 7968
444 900 7439
445 803 873
446 49 5118
447 727 3948
